title	Inclass01	Inclass02	Inclass03	Inclass04	Inclass05	Inclass06	Inclass07	Inclass08	Inclass09	Inclass10
"Tableware, nonelectric kitchenware"	0.54	0.21	0.23	0.51	0.27	0.22	0.36	0.40	0.72	0.45
"Small appliances"	0.11	0.11	0.07	0.11	0.13	0.05	0.38	0.16	0.21	0.17
"Portable heating and cooling equipment"	0.11	0.11	0.07	0.11	0.13	0.05	0.38	0.16	0.21	0.17
"Miscellaneous household equipment"	3.40	2.89	3.68	3.09	4.03	7.26	4.94	8.03	17.96	9.38
"Infants' equipment"	0.07	0.22	0.04	0.14	0.14	0.23	0.21	0.17	0.49	0.27
"Laundry and cleaning equipment"	0.10	0.24	0.16	0.19	0.18	0.23	0.35	0.30	0.48	0.32
"Outdoor equipment"	0.00	0.07	0.01	0.39	0.14	0.28	0.24	0.34	0.54	0.33
"Lamps and lighting fixtures"	0.00	0.05	0.13	0.06	0.18	0.37	0.13	0.50	1.20	0.55
"Clocks and other household decorative items"	1.15	0.84	0.43	0.59	0.80	2.32	1.04	1.61	5.16	2.47
"Telephones and accessories"	0.13	0.25	0.74	0.22	0.51	0.74	0.55	0.96	1.52	0.91
"Lawn and garden equipment"	0.76	0.04	0.22	0.18	0.46	0.88	0.30	0.93	2.25	1.09
"Power tools"	0.27	0.17	0.91	0.02	0.25	0.41	0.45	0.52	1.27	0.68
"Hand tools"	0.02	0.12	0.06	0.02	0.06	0.19	0.19	0.32	0.47	0.26
"Indoor plants, fresh flowers"	0.22	0.29	0.24	0.73	0.58	0.33	0.54	0.86	1.86	0.97
"Closet and storage items"	0.13	0.11	0.15	0.13	0.16	0.25	0.20	0.19	0.51	0.28
"Other hardware"	0.13	0.26	0.00	0.00	0.09	0.15	0.13	0.39	0.43	0.25
"Miscellaneous household equipment and parts"	0.34	0.18	0.35	0.38	0.34	0.85	0.52	0.83	1.33	0.80
"Luggage"	0.08	0.05	0.23	0.06	0.14	0.04	0.09	0.12	0.44	0.21
"Apparel and services"	12.48	12.74	17.98	11.19	16.99	19.20	21.32	26.15	43.58	26.94
"Men and boys"	3.17	2.07	5.70	2.07	3.24	4.61	4.73	5.91	10.56	6.31
"Men, 16 and over"	2.53	1.85	5.45	1.57	2.93	4.00	4.13	5.08	9.00	5.45
"Men's sportcoats, tailored jackets"	0.08	0.00	0.00	0.00	0.00	0.16	0.00	0.09	0.29	0.13
"Men's coats and jackets"	0.02	0.02	1.39	0.33	0.15	0.74	0.37	0.73	0.99	0.67
"Men's underwear"	0.08	0.24	0.11	0.11	0.25	0.15	0.15	0.29	0.54	0.30
"Men's hosiery"	0.08	0.09	0.18	0.09	0.19	0.16	0.20	0.23	0.34	0.23
"Men's accessories"	0.32	0.14	0.57	0.06	0.23	0.38	0.46	0.53	0.93	0.55
"Men's sweaters and vests"	0.02	0.07	0.60	0.11	0.22	0.12	0.13	0.35	0.38	0.28
"Men's active sportswear"	0.10	0.10	0.18	0.26	0.22	0.08	0.22	0.29	0.59	0.32
"Men's shirts"	0.81	0.44	1.05	0.34	0.76	1.31	1.19	1.51	2.84	1.62
"Men's pants and shorts"	1.03	0.76	1.31	0.28	0.90	0.89	1.40	1.05	1.97	1.30
"Men's uniforms"	0.00	0.00	0.06	0.00	0.00	0.00	0.01	0.02	0.12	0.04
"Boys, 2 to 15"	0.64	0.21	0.25	0.50	0.31	0.61	0.61	0.83	1.56	0.87
"Boys' shirts"	0.44	0.08	0.13	0.32	0.19	0.29	0.35	0.43	0.83	0.46
"Boys' underwear"	0.08	0.05	0.02	0.07	0.03	0.04	0.06	0.11	0.24	0.12
"Boys' nightwear"	0.00	0.03	0.01	0.00	0.03	0.03	0.09	0.13	0.12	0.08
"Boys' hosiery"	0.11	0.03	0.03	0.06	0.05	0.13	0.07	0.09	0.13	0.09
"Boys' accessories"	0.01	0.03	0.05	0.05	0.01	0.07	0.04	0.04	0.17	0.08
"Boys' suits, sportcoats, vests"	0.00	0.00	0.00	0.00	0.01	0.04	0.00	0.03	0.07	0.03
"Women and girls"	5.16	5.42	5.58	5.52	7.40	7.91	9.25	11.56	20.42	12.05
"Women, 16 and over"	4.61	4.51	5.35	4.95	6.36	6.59	7.68	9.79	17.75	10.40
"Women's coats and jackets"	0.10	0.41	0.77	0.28	0.37	0.38	0.49	0.94	1.38	0.81
"Women's dresses"	0.42	0.61	0.47	0.27	0.98	0.59	1.14	1.12	2.62	1.39
"Women's sportcoats, tailored jackets"	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.01	0.01
"Women's vests and sweaters"	0.53	0.42	0.36	0.51	0.55	0.72	0.57	0.80	1.37	0.85
"Women's shirts, tops, blouses"	1.30	0.82	0.99	0.99	1.01	1.39	1.54	2.33	3.61	2.14
"Women's skirts"	0.17	0.10	0.03	0.17	0.08	0.12	0.16	0.24	0.25	0.18
"Women's pants and shorts"	0.50	0.86	0.74	0.98	1.63	1.05	1.37	1.77	2.78	1.77
"Women's active sportswear"	0.24	0.06	0.07	0.30	0.35	0.18	0.32	0.39	1.07	0.53
"Women's sleepwear"	0.04	0.06	0.47	0.09	0.38	0.34	0.28	0.32	0.68	0.42
"Women's undergarments"	0.20	0.34	0.25	0.48	0.31	0.34	0.56	0.78	1.19	0.70
"Women's hosiery"	0.21	0.24	0.23	0.19	0.20	0.27	0.37	0.28	0.51	0.34
"Women's accessories"	0.90	0.59	0.96	0.61	0.51	1.11	0.72	0.71	2.22	1.22
"Women's uniforms"	0.00	0.00	0.02	0.05	0.00	0.08	0.16	0.09	0.08	0.07
"Girls, 2 to 15"	0.54	0.91	0.23	0.56	1.04	1.31	1.57	1.77	2.67	1.65
"Girls' coats and jackets"	0.05	0.00	0.00	0.00	0.15	0.13	0.07	0.22	0.19	0.14
"Girls' dresses and suits"	0.07	0.25	0.02	0.09	0.11	0.15	0.38	0.21	0.41	0.25
"Girls' shirts, blouses, sweaters"	0.10	0.30	0.13	0.20	0.34	0.54	0.67	0.70	0.90	0.60
"Girls' active sportswear"	0.05	0.04	0.01	0.01	0.08	0.18	0.08	0.20	0.48	0.22
"Girls' underwear and sleepwear"	0.03	0.21	0.02	0.21	0.17	0.13	0.16	0.25	0.33	0.22
"Girls' hosiery"	0.11	0.03	0.03	0.05	0.09	0.11	0.15	0.08	0.13	0.10
"Girls' accessories"	0.13	0.08	0.02	0.00	0.09	0.07	0.08	0.10	0.23	0.12
"Children under 2"	0.64	0.85	1.13	0.93	1.35	1.11	1.49	1.64	2.24	1.59
"Infant dresses, outerwear"	0.16	0.17	0.07	0.15	0.26	0.23	0.19	0.39	0.52	0.33
"Infant underwear"	0.44	0.64	0.93	0.62	0.94	0.79	1.11	0.96	1.46	1.06
"Infant nightwear, loungewear"	0.00	0.00	0.01	0.01	0.04	0.02	0.02	0.11	0.09	0.06
"Infant accessories"	0.05	0.04	0.12	0.15	0.12	0.08	0.16	0.17	0.18	0.14
"Footwear"	3.35	4.19	4.77	2.63	4.64	5.09	5.47	6.45	8.84	6.21
"Men's footwear"	1.25	1.38	2.68	0.25	1.28	1.46	1.88	1.80	2.31	1.79
"Boys' footwear"	0.47	0.82	0.35	0.48	0.59	0.93	0.54	0.79	1.18	0.82
"Women's footwear"	1.23	1.72	1.67	1.62	2.16	1.85	2.18	3.20	4.42	2.90
"Girls' footwear"	0.39	0.27	0.07	0.28	0.60	0.85	0.87	0.67	0.94	0.70
"Other apparel products and services"	0.16	0.21	0.81	0.04	0.36	0.48	0.39	0.59	1.52	0.78
"Material for making clothes"	0.04	0.00	0.01	0.01	0.11	0.27	0.23	0.18	0.28	0.19
"Sewing patterns and notions"	0.05	0.03	0.07	0.03	0.07	0.09	0.09	0.12	0.17	0.11
"Watches"	0.08	0.18	0.73	0.00	0.19	0.12	0.07	0.28	1.07	0.48
"Transportation"	26.73	20.70	26.42	29.91	38.09	52.59	47.16	63.07	80.05	55.56
"Gasoline, motor oil, and additives"	20.35	13.26	16.15	17.50	23.54	27.29	30.55	35.44	47.40	32.76
"Gasoline, gasohol and diesel fuel"	20.11	13.21	15.99	17.30	23.23	27.01	30.28	35.17	47.03	32.47
"Gasoline"	19.88	13.21	15.95	17.30	23.03	26.54	29.86	34.95	46.24	32.06
"Diesel fuel"	0.23	0.00	0.04	0.00	0.20	0.46	0.42	0.22	0.78	0.41
"Motor oil, coolants and other additives"	0.24	0.05	0.16	0.20	0.31	0.28	0.27	0.27	0.37	0.29
"Motor oil"	0.10	0.02	0.08	0.11	0.15	0.22	0.18	0.17	0.27	0.19
"Coolant, brake fluid, transmission fluid, and other"	0.14	0.03	0.08	0.09	0.16	0.06	0.09	0.10	0.10	0.10
"Other vehicle expenses"	6.12	7.22	10.02	11.89	14.24	25.06	16.28	27.34	31.87	22.35
"Maintenance and repairs"	0.29	1.03	0.53	0.36	0.69	1.05	0.83	1.53	2.13	1.30
"Vehicle audio equipment"	0.00	0.00	0.22	0.09	0.00	0.03	0.02	0.10	0.30	0.14
"Vehicle products and cleaning services"	0.06	0.01	0.04	0.10	0.08	0.06	0.10	0.09	0.14	0.10
"Misc. auto repair, servicing"	0.23	1.02	0.27	0.17	0.60	0.95	0.71	1.34	1.69	1.07
"Vehicle insurance"	5.74	6.11	9.40	11.42	13.49	23.82	15.30	25.54	28.91	20.68
"Vehicle rental, leases, licenses, and other charges"	0.10	0.08	0.09	0.11	0.06	0.19	0.15	0.27	0.83	0.37
"Tolls or electronic toll passes"	0.10	0.08	0.09	0.11	0.06	0.19	0.15	0.27	0.83	0.37
"Public transportation"	0.25	0.21	0.24	0.51	0.32	0.24	0.33	0.28	0.77	0.45
"Taxi fares and limousine services"	0.25	0.21	0.24	0.51	0.32	0.24	0.33	0.28	0.77	0.45
"Healthcare"	0.87	1.05	2.21	1.71	2.31	2.24	3.07	3.02	4.53	3.06
"Medical services"	0.00	0.00	0.51	0.00	0.03	0.00	0.00	0.03	0.04	0.05
"Repair of medical equipment"	0.00	0.00	0.51	0.00	0.03	0.00	0.00	0.03	0.04	0.05
"Drugs"	0.72	0.74	1.37	1.36	1.85	1.79	2.58	2.33	3.55	2.40
"Nonprescription drugs"	0.61	0.48	0.89	0.92	1.38	1.15	1.57	1.64	2.24	1.57
"Nonprescription vitamins"	0.10	0.26	0.48	0.44	0.47	0.64	1.00	0.69	1.31	0.82
"Medical supplies"	0.16	0.31	0.33	0.35	0.43	0.45	0.50	0.66	0.94	0.61
"Topicals and dressings"	0.16	0.31	0.33	0.35	0.43	0.45	0.50	0.66	0.94	0.61
"Entertainment"	11.91	10.50	16.48	13.23	19.13	23.72	22.55	27.84	46.58	28.97
"Fees and admissions"	0.82	0.51	0.55	0.66	1.57	1.68	2.15	2.45	8.57	3.82
"Fees for participant sports"	0.55	0.50	0.36	0.52	1.16	1.47	1.46	1.57	5.01	2.38
"Fees for recreational lessons"	0.26	0.01	0.19	0.14	0.40	0.20	0.68	0.88	3.56	1.44
"Audio and visual equipment and services"	6.32	6.08	9.75	7.91	9.10	11.26	12.03	12.62	15.94	12.12
"Radios"	0.00	0.03	0.00	0.00	0.00	0.14	0.64	0.00	0.40	0.21
"Cable and satellite television services"	4.89	5.70	9.05	7.48	8.53	10.05	10.34	11.18	13.36	10.58
"Tape recorders and players"	0.00	0.00	0.03	0.00	0.00	0.03	0.00	0.02	0.02	0.01
"Miscellaneous sound equipment"	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.06	0.02
"Miscellaneous video equipment"	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.08	0.17	0.07
"Sound equipment accessories"	0.40	0.07	0.03	0.08	0.09	0.20	0.31	0.22	0.27	0.20
"Video game hardware and software"	1.03	0.28	0.64	0.34	0.47	0.83	0.69	1.12	1.67	1.03
"Pets, toys, hobbies, and playground equipment"	3.87	3.56	5.50	4.26	7.63	8.99	7.02	9.66	17.43	10.53
"Pets"	2.23	2.15	3.79	3.19	6.10	6.82	5.02	7.44	12.82	7.82
"Pet food"	1.47	1.04	1.07	2.10	2.79	2.80	2.81	3.91	4.48	3.25
"Pet purchase, supplies, medicine"	0.35	0.21	2.12	0.34	1.22	0.85	0.81	1.27	2.23	1.40
"Vet services"	0.41	0.90	0.60	0.75	2.09	3.17	1.40	2.26	6.11	3.17
"Toys, games, arts and crafts, and tricycles"	1.64	1.41	1.70	1.07	1.52	2.15	1.88	2.22	4.54	2.67
"Playground equipment"	0.00	0.00	0.00	0.00	0.01	0.03	0.12	0.00	0.06	0.04
"Other entertainment supplies, equipment, and services"	0.90	0.34	0.68	0.40	0.84	1.79	1.35	3.11	4.64	2.50
"Sports, recreation and exercise equipment"	0.80	0.19	0.46	0.37	0.65	1.28	1.20	2.70	3.44	1.94
"Athletic gear, game tables, and exercise equipment"	0.70	0.03	0.03	0.17	0.30	0.38	0.80	1.37	1.85	0.99
"Camping equipment"	0.00	0.06	0.09	0.03	0.27	0.10	0.19	0.08	0.38	0.21
"Hunting and fishing equipment"	0.10	0.10	0.34	0.17	0.08	0.81	0.21	0.77	0.96	0.58
"Global positioning system devices"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.24	0.15
"Photographic equipment, supplies and services"	0.04	0.00	0.01	0.00	0.08	0.11	0.04	0.35	0.73	0.31
"Other photographic supplies"	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.01	0.11	0.04
"Photographer fees"	0.04	0.00	0.00	0.00	0.08	0.11	0.03	0.34	0.62	0.28
"Fireworks"	0.05	0.00	0.13	0.03	0.03	0.26	0.06	0.00	0.23	0.12
"Souvenirs"	0.00	0.11	0.03	0.00	0.00	0.05	0.03	0.01	0.10	0.05
"Visual goods"	0.00	0.00	0.00	0.00	0.04	0.07	0.00	0.03	0.03	0.03
"Pinball, electronic video games"	0.01	0.04	0.04	0.00	0.04	0.02	0.03	0.02	0.11	0.05
"Personal care products and services"	4.46	3.58	4.33	4.69	5.79	6.86	7.79	9.22	17.33	10.02
"Personal care products"	2.94	2.54	2.96	3.05	3.79	4.24	4.44	5.62	9.38	5.79
"Hair care products"	0.72	0.56	0.66	0.64	0.69	0.91	0.94	1.21	2.08	1.25
"Nonelectric articles for the hair"	0.06	0.26	0.11	0.06	0.07	0.10	0.10	0.12	0.17	0.12
"Oral hygiene products, articles"	0.21	0.20	0.30	0.34	0.38	0.54	0.50	0.51	0.86	0.56
"Shaving needs"	0.17	0.06	0.11	0.17	0.22	0.27	0.22	0.28	0.50	0.31
"Cosmetics, perfume, bath preparations"	1.46	1.17	1.27	1.18	1.72	1.84	2.10	2.76	4.59	2.75
"Deodorants, feminine hygiene, miscellaneous personal"	0.31	0.29	0.48	0.42	0.41	0.47	0.48	0.62	0.96	0.63
"Electric personal care appliances"	0.01	0.00	0.03	0.24	0.29	0.10	0.09	0.12	0.23	0.17
"Personal care services"	1.52	1.04	1.37	1.64	2.00	2.62	3.35	3.60	7.95	4.23
"Personal care service for females"	0.90	0.65	0.89	1.06	1.30	1.70	2.16	2.31	5.22	2.75
"Personal care service for males"	0.61	0.38	0.48	0.58	0.70	0.91	1.20	1.28	2.73	1.47
"Reading"	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.04	0.02	0.01
"Newsletters"	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.04	0.02	0.01
"Education"	1.32	0.23	0.34	0.32	0.41	0.53	0.62	0.86	1.74	0.95
"School supplies, etc. - unspecified"	1.32	0.23	0.34	0.32	0.41	0.53	0.62	0.86	1.74	0.95
"Tobacco products and smoking supplies"	0.02	0.03	0.06	0.05	0.03	0.04	0.04	0.05	0.04	0.04
"Smoking accessories"	0.02	0.03	0.03	0.05	0.03	0.04	0.03	0.05	0.04	0.04
"Marijuana"	0.00	0.00	0.03	0.00	0.00	0.00	0.01	0.00	0.00	0.00
"Miscellaneous"	0.28	1.04	2.60	0.60	1.03	1.75	2.00	2.44	3.77	2.35
"Miscellaneous fees"	0.00	0.00	0.00	0.00	0.00	0.06	0.04	0.05	0.30	0.11
"Lotteries and pari-mutuel losses"	0.24	0.57	0.98	0.35	0.86	0.80	1.65	1.51	2.30	1.44
"Miscellaneous personal services"	0.04	0.47	1.63	0.25	0.17	0.89	0.31	0.87	1.17	0.79
"Money income before taxes"	1891.43	7626.90	12377.57	17445.74	24883.96	34946.71	45105.14	59867.63	126036.08	62980.69
"Wages and salaries"	2742.22	2355.28	3813.29	7599.30	13541.42	23239.66	33206.73	48626.56	107087.10	50010.29
"Self-employment income"	-2560.23	-347.58	-41.32	71.97	210.08	665.48	1393.60	1716.36	7960.14	2943.37
"Net business income"	-2420.92	-312.32	-38.58	51.16	201.53	525.04	1132.45	1582.53	7331.92	2685.00
"Net farm income"	-139.31	-35.26	-2.73	20.81	8.55	140.44	261.15	133.82	628.22	258.38
"Social Security, private and government retirement"	426.02	2705.27	5972.10	7480.64	8239.49	8600.03	8195.77	7378.89	7281.82	7202.60
"Social Security and railroad retirement income"	365.29	2508.27	5608.21	6432.04	6399.49	5594.45	4673.93	3798.59	2819.69	4220.43
"Pensions and annuities"	60.73	197.00	363.89	1048.60	1840.00	3005.58	3521.83	3580.30	4462.13	2982.17
"Interest, dividends, rental income, other property income"	384.47	270.52	214.83	443.65	582.32	833.16	712.07	914.27	2225.65	1146.56
"Interest"	306.78	214.36	137.02	170.71	465.43	402.74	340.12	546.23	1077.06	599.43
"Dividends, royalties, estates, trusts"	111.05	82.13	77.06	135.48	119.93	373.48	297.45	323.73	1053.17	489.92
"Roomer and boarder income"	46.91	-27.37	-7.28	112.72	55.05	48.91	48.75	17.56	50.78	42.93
"Other rental income"	-80.28	1.40	8.04	24.74	-58.09	8.03	25.76	26.75	44.64	14.27
"Unemployment and workers' compensation, veterans'"	90.72	160.66	325.68	334.23	511.93	477.15	412.72	549.22	663.34	503.36
"Unemployment compensation"	89.24	150.91	302.43	299.56	491.92	377.56	343.68	465.24	525.23	422.11
"Workers' compensation and veterans' benefits"	1.48	9.75	23.25	34.67	20.01	99.59	69.04	83.98	138.11	81.25
"Public assistance, supplemental security income, food"	572.51	1739.23	1491.82	1076.01	936.63	627.56	329.54	202.33	118.55	529.96
"Supplemental security income"	71.63	1063.56	609.26	529.36	425.23	360.45	185.51	133.28	82.72	270.76
"Public assistance"	26.86	50.09	85.50	89.45	58.00	23.61	17.21	5.71	2.59	26.87
"Food stamps"	474.02	625.57	797.05	457.20	453.40	243.49	126.82	63.34	33.24	232.33
"Regular contributions for support"	164.38	458.94	366.92	282.77	739.88	463.91	760.22	349.43	574.11	518.07
"Child support payments"	34.34	73.56	122.10	82.06	157.35	123.78	186.43	115.27	201.98	150.39
"Other regular contributions including alimony"	130.04	385.38	244.82	200.71	582.52	340.12	573.79	234.16	372.13	367.68
"Other income"	71.33	284.59	234.24	157.18	122.22	39.76	94.48	130.57	125.38	126.47
"Meals as pay"	0.85	0.21	0.27	0.29	0.36	0.51	0.62	0.78	0.77	0.60
"Rent as pay"	5.82	11.01	9.83	7.27	4.14	3.06	1.00	2.72	2.15	3.71
"Other income"	64.66	273.37	224.14	149.61	117.72	36.20	92.86	127.06	122.46	122.16
"Personal taxes"	114.69	-239.79	-195.67	-187.14	-159.96	196.70	555.15	1063.51	4943.38	1762.63
"Federal income taxes"	-147.87	-248.77	-273.11	-308.39	-315.90	-71.34	214.06	539.24	3418.75	1093.35
"Federal income tax deducted"	150.10	38.60	54.76	163.72	381.42	585.45	942.17	1351.35	4042.57	1719.25
"Additional federal income tax paid"	108.44	17.64	48.86	62.17	95.68	107.70	148.89	247.33	961.76	393.29
"Federal income tax refunds"	-406.40	-305.00	-376.73	-534.28	-793.00	-764.48	-877.00	-1059.44	-1585.58	-1019.19
"State and local income taxes"	79.84	-18.86	-0.95	18.44	27.16	136.54	169.62	315.18	1118.95	442.40
"State and local income tax deducted"	112.65	18.97	20.96	52.83	99.24	193.29	251.58	393.62	1200.30	509.75
"Additional state and local income tax paid"	24.80	0.64	9.58	6.89	18.06	18.52	23.46	45.55	152.83	64.04
"State and local income tax refunds"	-57.61	-38.47	-31.50	-41.29	-90.15	-75.26	-105.43	-123.99	-234.18	-131.39
"Other taxes"	182.71	27.84	78.39	102.82	128.79	131.49	171.47	209.09	405.68	226.88
"Personal property taxes"	22.85	13.04	12.87	17.41	24.58	29.92	40.21	47.33	94.36	50.76
"Other taxes"	161.39	14.80	66.71	85.82	107.63	103.76	131.27	164.68	320.73	180.38
"Other tax refunds"	-1.52	0.00	-1.19	-0.41	-3.43	-2.19	-0.01	-2.92	-9.41	-4.25
"Income after taxes"	1776.76	7866.68	12573.24	17632.89	25043.92	34750.02	44550.00	58804.13	121092.73	61218.07
"Meals as pay"	0.85	0.21	0.27	0.29	0.36	0.51	0.62	0.78	0.77	0.60
"Rent as pay"	5.82	11.01	9.83	7.27	4.14	3.06	1.00	2.72	2.15	3.71
"Income after taxes"	1770.09	7855.46	12563.14	17625.32	25039.42	34746.45	44548.38	58800.63	121089.81	61213.76
