title	Inclass01	Inclass02	Inclass03	Inclass04	Inclass05	Inclass06	Inclass07	Inclass08	Inclass09	Inclass10
Hand tools	0.23	0.11	0.09	0.04	0.26	0.26	0.13	0.29	0.41	0.26
Indoor plants, fresh flowers	0.21	0.28	0.44	0.35	0.33	0.41	0.76	0.60	1.62	0.82
Closet and storage items	0.11	0.18	0.12	0.06	0.10	0.12	0.26	0.31	0.60	0.30
Other hardware	0.00	0.12	0.05	0.04	0.11	0.14	0.24	0.24	0.64	0.30
Miscellaneous household equipment and parts	0.21	0.25	0.30	0.33	0.52	0.48	0.35	0.74	1.05	0.65
Luggage	0.11	0.22	0.23	0.01	0.03	0.06	0.21	0.08	0.56	0.24
Apparel and services	10.21	16.79	9.19	14.33	18.74	20.66	22.23	25.21	44.08	26.72
Men and boys	2.45	2.92	1.55	2.96	4.34	3.96	4.53	5.26	10.90	6.05
Men, 16 and over	2.00	1.80	1.29	2.44	3.68	3.30	3.86	4.50	9.76	5.26
Men's sportcoats, tailored jackets	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.02
Men's coats and jackets	0.58	0.00	0.15	0.18	0.64	0.26	0.28	0.53	1.09	0.59
Men's underwear	0.15	0.27	0.08	0.08	0.19	0.33	0.33	0.34	0.59	0.35
Men's hosiery	0.10	0.04	0.11	0.15	0.19	0.25	0.23	0.16	0.41	0.25
Men's accessories	0.30	0.16	0.06	0.20	0.56	0.23	0.52	0.59	1.07	0.60
Men's sweaters and vests	0.00	0.02	0.07	0.06	0.14	0.12	0.26	0.07	0.48	0.23
Men's active sportswear	0.00	0.00	0.01	0.32	0.15	0.19	0.16	0.38	0.85	0.39
Men's shirts	0.20	0.40	0.31	0.55	1.02	1.09	0.88	1.36	2.93	1.52
Men's pants and shorts	0.67	0.80	0.50	0.92	0.77	0.78	1.18	0.91	2.25	1.27
Men's uniforms	0.00	0.12	0.00	0.00	0.02	0.06	0.01	0.17	0.01	0.04
Boys, 2 to 15	0.45	1.12	0.26	0.52	0.66	0.67	0.67	0.76	1.14	0.80
Boys' shirts	0.18	0.82	0.12	0.24	0.39	0.28	0.36	0.38	0.53	0.40
Boys' underwear	0.06	0.09	0.07	0.08	0.10	0.19	0.07	0.13	0.16	0.13
Boys' nightwear	0.09	0.00	0.00	0.01	0.03	0.02	0.05	0.03	0.07	0.04
Boys' hosiery	0.09	0.06	0.02	0.04	0.08	0.09	0.07	0.11	0.17	0.10
Boys' accessories	0.03	0.15	0.04	0.14	0.06	0.08	0.11	0.10	0.13	0.10
Boys' suits, sportcoats, vests	0.00	0.00	0.01	0.00	0.00	0.01	0.01	0.00	0.08	0.03
Women and girls	4.04	7.90	3.95	5.62	7.51	9.69	9.66	12.73	19.46	11.94
Women, 16 and over	3.04	7.04	3.47	4.58	6.54	8.54	8.71	11.62	17.21	10.57
Women's coats and jackets	0.20	0.59	0.22	0.25	0.61	0.87	0.67	0.52	1.13	0.73
Women's dresses	0.20	0.51	0.09	0.44	0.92	1.01	1.47	3.05	2.16	1.56
Women's sportcoats, tailored jackets	0.00	0.13	0.00	0.00	0.00	0.01	0.00	0.00	0.13	0.05
Women's vests and sweaters	0.13	0.32	0.36	0.28	0.29	0.62	0.38	0.50	1.49	0.73
Women's shirts, tops, blouses	0.91	2.70	0.72	0.80	1.37	1.72	1.81	2.23	3.79	2.28
Women's skirts	0.07	0.05	0.04	0.04	0.09	0.11	0.22	0.22	0.27	0.17
Women's pants and shorts	0.63	1.17	0.76	1.38	0.89	1.25	1.43	1.61	2.90	1.73
Women's active sportswear	0.01	0.32	0.13	0.33	0.23	0.34	0.28	0.35	1.24	0.57
Women's sleepwear	0.31	0.24	0.10	0.10	0.51	0.31	0.36	0.36	0.55	0.39
Women's undergarments	0.10	0.33	0.38	0.28	0.52	0.69	0.40	0.83	1.05	0.69
Women's hosiery	0.12	0.29	0.16	0.18	0.29	0.36	0.45	0.32	0.61	0.40
Women's accessories	0.38	0.40	0.52	0.52	0.73	1.24	1.16	1.56	1.75	1.22
Women's uniforms	0.00	0.00	0.00	0.00	0.08	0.03	0.07	0.08	0.14	0.07
Girls, 2 to 15	0.99	0.85	0.48	1.04	0.97	1.16	0.95	1.11	2.25	1.37
Girls' coats and jackets	0.04	0.05	0.01	0.16	0.09	0.16	0.01	0.06	0.09	0.08
Girls' dresses and suits	0.27	0.10	0.06	0.11	0.11	0.22	0.13	0.16	0.48	0.25
Girls' shirts, blouses, sweaters	0.16	0.57	0.25	0.42	0.38	0.32	0.46	0.48	0.74	0.50
Girls' active sportswear	0.16	0.00	0.07	0.07	0.11	0.14	0.11	0.17	0.36	0.19
Girls' underwear and sleepwear	0.16	0.10	0.06	0.23	0.12	0.14	0.17	0.10	0.26	0.17
Girls' hosiery	0.12	0.02	0.01	0.04	0.10	0.09	0.03	0.08	0.16	0.09
Girls' accessories	0.09	0.01	0.02	0.01	0.07	0.08	0.03	0.07	0.16	0.09
Children under 2	0.67	1.65	0.79	1.08	1.21	1.92	1.45	1.51	2.36	1.67
Infant dresses, outerwear	0.09	0.49	0.11	0.24	0.25	0.52	0.19	0.34	0.56	0.38
Infant underwear	0.48	0.96	0.59	0.72	0.77	1.07	1.11	0.94	1.40	1.04
Infant nightwear, loungewear	0.02	0.02	0.00	0.07	0.01	0.06	0.03	0.03	0.10	0.05
Infant accessories	0.07	0.18	0.09	0.05	0.18	0.26	0.13	0.21	0.30	0.21
Footwear	2.85	4.09	2.70	3.60	5.36	4.77	5.97	5.36	8.33	5.83
Men's footwear	1.13	1.67	0.48	1.28	1.99	1.13	2.09	1.90	2.80	1.95
Boys' footwear	0.24	0.58	0.23	0.52	0.38	0.57	0.98	0.45	0.54	0.53
Women's footwear	1.16	1.60	1.52	1.39	2.50	2.48	2.34	2.51	4.30	2.81
Girls' footwear	0.32	0.25	0.47	0.41	0.50	0.59	0.55	0.50	0.69	0.55
Other apparel products and services	0.20	0.22	0.20	1.07	0.31	0.32	0.63	0.36	3.03	1.22
Material for making clothes	0.06	0.02	0.03	0.06	0.05	0.11	0.12	0.01	0.14	0.09
Sewing patterns and notions	0.02	0.13	0.02	0.09	0.06	0.09	0.07	0.12	0.18	0.11
Watches	0.12	0.07	0.15	0.93	0.20	0.12	0.44	0.23	2.71	1.02
Transportation	29.20	24.31	29.31	37.51	38.75	49.77	57.98	63.34	84.37	57.94
Gasoline, motor oil, and additives	18.48	15.69	18.63	21.39	24.02	31.54	35.70	40.19	51.87	35.93
Gasoline and diesel fuel	18.26	15.46	17.95	21.12	23.72	31.16	35.22	39.80	51.30	35.48
Gasoline	18.05	15.33	17.32	20.58	23.42	30.62	34.92	38.98	50.61	34.93
Diesel fuel	0.21	0.13	0.64	0.54	0.29	0.55	0.30	0.82	0.69	0.56
Motor oil, coolants and other additives	0.22	0.24	0.68	0.27	0.31	0.38	0.47	0.38	0.57	0.44
Motor oil	0.11	0.04	0.39	0.13	0.22	0.26	0.33	0.24	0.37	0.28
Coolant, brake fluid, transmission fluid, and other	0.10	0.20	0.29	0.14	0.09	0.12	0.15	0.14	0.20	0.16
Other vehicle expenses	10.48	8.39	10.49	16.03	14.58	17.86	21.93	23.00	31.97	21.70
Maintenance and repairs	0.84	0.86	1.38	1.57	1.08	1.09	1.26	1.52	3.32	1.88
Vehicle audio equipment	0.00	0.00	0.05	0.00	0.12	0.16	0.00	0.29	0.10	0.11
Vehicle products and cleaning services	0.00	0.04	0.26	0.16	0.05	0.08	0.16	0.15	0.25	0.16
Misc. auto repair, servicing	0.84	0.82	1.07	1.41	0.91	0.85	1.10	1.07	2.97	1.61
Vehicle insurance	9.40	7.31	8.88	14.32	13.44	16.57	20.40	21.23	27.84	19.43
Vehicle rental, leases, licenses, and other charges	0.25	0.21	0.23	0.14	0.07	0.20	0.26	0.25	0.81	0.39
Tolls or electronic toll passes	0.25	0.21	0.23	0.14	0.07	0.20	0.26	0.25	0.81	0.39
Public transportation	0.25	0.23	0.19	0.09	0.14	0.37	0.36	0.16	0.53	0.32
Taxi fares and limousine services	0.25	0.23	0.19	0.09	0.14	0.37	0.36	0.16	0.53	0.32
Health care	1.56	1.26	2.45	2.21	2.52	2.72	3.01	3.12	4.88	3.30
Medical services	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00
Repair of medical equipment	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00
Drugs	1.18	0.92	2.10	1.75	1.76	2.15	2.46	2.53	3.85	2.60
Nonprescription drugs	0.66	0.52	1.50	1.19	1.32	1.09	1.77	1.83	2.48	1.72
Nonprescription vitamins	0.52	0.40	0.60	0.57	0.44	1.05	0.68	0.71	1.36	0.88
Medical supplies	0.38	0.34	0.35	0.46	0.76	0.57	0.55	0.58	1.03	0.70
Topicals and dressings	0.38	0.34	0.35	0.46	0.76	0.57	0.55	0.58	1.03	0.70
Entertainment	11.82	10.35	13.27	14.21	17.09	19.77	24.24	27.28	40.18	25.80
Fees and admissions	0.34	0.81	0.67	0.65	1.30	1.48	2.71	2.65	6.24	3.04
Fees for participant sports	0.34	0.59	0.59	0.33	0.50	0.91	1.57	1.66	3.24	1.66
Fees for recreational lessons	0.00	0.22	0.07	0.32	0.80	0.58	1.13	0.99	3.00	1.38
Audio and visual equipment and services	7.72	5.24	8.13	7.86	8.21	10.09	13.03	13.78	14.36	11.46
Radios	0.00	0.00	0.00	0.01	0.01	0.00	0.01	0.10	0.12	0.05
Cable and satellite television services	6.79	4.63	7.76	7.19	7.62	9.58	11.95	12.08	11.77	10.05
Tape recorders and players	0.07	0.00	0.00	0.02	0.00	0.01	0.08	0.00	0.01	0.02
Miscellaneous sound equipment	0.00	0.02	0.00	0.00	0.00	0.00	0.02	0.01	0.17	0.06
Miscellaneous video equipment	0.15	0.00	0.01	0.08	0.03	0.02	0.02	0.09	0.11	0.07
Sound equipment accessories	0.11	0.10	0.00	0.08	0.03	0.05	0.09	0.16	0.59	0.24
Video game hardware and software	0.61	0.49	0.36	0.48	0.51	0.44	0.86	1.34	1.57	0.98
Pets, toys, hobbies, and playground equipment	3.40	3.27	3.67	5.02	5.63	6.42	7.39	8.68	15.49	9.02
Pets	2.33	1.58	3.30	4.01	4.37	5.05	5.64	6.57	11.15	6.70
Pet food	1.64	0.82	1.89	1.69	2.82	2.81	2.96	3.08	4.66	3.18
Pet purchase, supplies, medicine	0.29	0.65	0.86	0.75	0.66	1.01	1.15	1.39	2.21	1.34
Vet services	0.41	0.12	0.55	1.56	0.89	1.23	1.53	2.10	4.28	2.18
Toys, games, arts and crafts, and tricycles	1.07	1.68	0.36	1.00	1.22	1.35	1.75	2.09	4.19	2.26
Playground equipment	0.00	0.01	0.01	0.01	0.04	0.02	0.00	0.02	0.15	0.06
Other entertainment supplies, equipment, and services	0.35	1.03	0.80	0.67	1.95	1.78	1.11	2.18	4.10	2.28
Sports, recreation and exercise equipment	0.35	1.01	0.58	0.61	1.89	1.40	0.90	1.52	3.04	1.77
Athletic gear, game tables, and exercise equipment	0.28	0.04	0.26	0.24	0.83	1.07	0.56	0.75	1.54	0.91
Camping equipment	0.06	0.17	0.04	0.06	0.20	0.10	0.09	0.24	0.53	0.26
Hunting and fishing equipment	0.00	0.09	0.13	0.31	0.81	0.20	0.25	0.38	0.87	0.50
Global positioning system devices	0.00	0.70	0.16	0.00	0.05	0.03	0.00	0.15	0.10	0.10
Photographic equipment, supplies and services	0.00	0.02	0.16	0.05	0.04	0.33	0.16	0.17	0.76	0.33
Other photographic supplies	0.00	0.02	0.01	0.00	0.00	0.00	0.00	0.02	0.02	0.01
Photographer fees	0.00	0.00	0.15	0.05	0.03	0.33	0.16	0.14	0.74	0.32
Fireworks	0.00	0.00	0.04	0.00	0.00	0.01	0.02	0.01	0.06	0.03
Souvenirs	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.14	0.10
Visual goods	0.01	0.00	0.01	0.00	0.02	0.01	0.00	0.01	0.05	0.02
Pinball, electronic video games	0.00	0.01	0.00	0.01	0.00	0.02	0.03	0.07	0.06	0.03
Personal care products and services	3.91	5.29	3.62	5.10	5.98	6.65	8.07	9.64	16.18	9.61
Personal care products	2.59	3.54	2.60	3.44	4.53	4.14	5.04	5.63	9.13	5.80
Hair care products	0.54	0.55	0.60	0.79	0.73	0.69	0.93	1.32	1.96	1.19
Nonelectric articles for the hair	0.07	0.05	0.04	0.08	0.10	0.12	0.11	0.10	0.23	0.14
Oral hygiene products, articles	0.29	0.27	0.27	0.38	0.74	0.52	0.60	0.60	0.95	0.65
Shaving needs	0.04	0.12	0.11	0.27	0.21	0.26	0.21	0.32	0.62	0.35
Cosmetics, perfume, bath preparations	1.13	2.10	0.99	1.51	1.97	2.01	2.38	2.34	4.02	2.58
Deodorants, feminine hygiene, miscellaneous personal	0.48	0.28	0.57	0.35	0.63	0.47	0.73	0.64	0.94	0.68
Electric personal care appliances	0.04	0.17	0.01	0.06	0.15	0.07	0.09	0.30	0.40	0.21
Personal care services	1.32	1.75	1.02	1.67	1.44	2.51	3.03	4.01	7.05	3.81
Personal care service for females	0.69	0.96	0.54	0.86	0.78	1.40	1.57	2.10	3.74	2.02
Personal care service for males	0.62	0.79	0.48	0.81	0.66	1.11	1.46	1.91	3.31	1.79
Reading	0.31	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.02
Newsletters	0.31	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.02
Education	0.47	0.84	0.48	0.52	0.84	0.82	1.62	1.07	1.91	1.22
School supplies, etc. - unspecified	0.47	0.84	0.48	0.52	0.84	0.82	1.62	1.07	1.91	1.22
Tobacco products and smoking supplies	0.16	0.10	0.02	0.13	0.03	0.06	0.14	0.08	0.05	0.07
Smoking accessories	0.16	0.10	0.02	0.13	0.03	0.06	0.14	0.08	0.05	0.07
Miscellaneous	1.08	0.84	0.77	1.04	0.80	1.79	6.58	5.87	4.26	3.34
Miscellaneous fees	0.00	0.00	0.00	0.05	0.03	0.00	0.00	0.05	0.13	0.05
Lotteries and pari-mutuel losses	0.94	0.57	0.59	0.62	0.63	0.77	0.52	4.74	1.49	1.51
Miscellaneous personal services	0.13	0.27	0.18	0.37	0.15	1.02	6.06	1.08	2.64	1.77
Money income before taxes	3111.05	7654.02	12330.17	17181.00	24406.04	34469.56	44802.54	59557.75	131128.73	62788.00
Wages and salaries	2960.26	2369.22	3678.18	7236.09	13167.23	22624.22	33138.71	46856.66	111320.98	49444.68
Self-employment income	-2166.19	-8.32	-194.30	-170.88	424.16	664.42	1011.41	1807.09	6480.16	2386.53
Net business income	-1982.82	21.23	-154.06	-136.62	428.51	677.48	863.54	1671.33	6113.90	2253.33
Net farm income	-183.37	-29.55	-40.24	-34.26	-4.35	-13.06	147.87	135.76	366.26	133.21
Social Security, private and government retirement	871.44	2649.12	6314.39	7298.87	8695.90	8567.24	7939.16	7602.66	7957.14	7479.23
Social Security and railroad retirement income	721.49	2502.88	5755.84	6565.29	6974.58	5912.97	5060.90	4199.54	2794.43	4489.35
Pensions and annuities	149.95	146.25	558.56	733.58	1721.32	2654.27	2878.27	3403.12	5162.71	2989.88
Interest, dividends, rental income, other property income	213.19	150.73	150.59	276.54	368.49	720.31	960.96	1553.42	3442.79	1548.60
Interest	69.64	157.96	81.18	103.35	187.32	362.76	547.23	679.88	1688.52	757.61
Dividends, royalties, estates, trusts	82.74	13.38	17.36	129.26	141.90	245.44	290.72	698.53	1413.82	623.35
Roomer and boarder income	58.69	-40.43	37.24	30.19	17.29	61.66	94.96	120.17	251.36	118.14
Other rental income	2.12	19.82	14.82	13.74	21.97	50.45	28.05	54.84	89.10	49.50
Unemployment and workers' compensation, veterans'	111.62	272.30	326.33	825.26	586.79	704.52	778.33	877.72	822.32	705.66
Unemployment compensation	107.64	252.60	316.12	680.51	520.60	641.54	741.96	623.61	515.75	543.98
Workers' compensation and veterans' benefits	3.98	19.70	10.20	144.75	66.19	62.99	36.37	254.11	306.57	161.68
Public assistance, supplemental security income, food	651.89	1458.98	1362.79	1140.66	791.15	548.58	496.85	362.47	237.29	585.81
Supplemental security income	178.95	747.79	632.05	404.53	362.43	195.34	255.79	263.81	179.87	293.54
Public assistance	9.09	85.92	42.60	108.74	38.98	38.13	15.08	5.73	4.79	26.88
Food stamps	463.85	625.27	688.14	627.39	389.73	315.12	225.98	92.93	52.63	265.39
Regular contributions for support	354.86	561.41	571.25	431.74	346.49	476.19	375.77	400.22	590.85	476.87
Child support payments	150.57	58.48	145.46	142.96	88.70	150.53	219.17	119.48	168.16	146.01
Other regular contributions including alimony	204.28	502.93	425.79	288.78	257.79	325.66	156.61	280.73	422.69	330.86
Other income	113.98	200.59	120.93	142.71	25.85	164.07	101.33	97.53	277.21	160.61
Meals as pay	0.03	1.00	0.26	0.54	0.87	1.18	8.35	0.52	1.12	1.61
Rent as pay	3.33	16.07	2.30	1.22	6.91	2.83	0.68	0.27	1.79	2.83
Other income	110.62	183.52	118.38	140.95	18.07	160.06	92.30	96.75	274.29	156.18
Personal taxes	-128.59	-187.89	-219.70	-263.01	-164.98	-110.99	-191.79	1003.95	4427.37	1402.80
Federal income taxes	-216.37	-216.04	-294.67	-301.69	-319.94	-305.87	-409.41	528.13	3116.23	856.86
Federal income tax deducted	38.20	35.64	74.44	118.68	296.91	635.47	808.52	1435.51	3709.56	1552.60
Additional federal income tax paid	126.32	21.85	28.40	89.66	70.11	106.00	110.71	224.12	934.00	362.80
Federal income tax refunds	-380.90	-273.53	-397.51	-510.04	-686.96	-1047.33	-1328.64	-1131.49	-1527.33	-1058.54
State and local income taxes	11.88	-16.20	6.30	-11.38	41.30	100.04	99.87	321.25	1017.63	384.31
State and local income tax deducted	11.47	15.61	26.75	37.03	89.05	172.16	219.82	398.53	1006.55	424.74
Additional state and local income tax paid	38.42	11.76	11.37	16.70	13.95	13.98	13.99	45.29	244.02	89.41
State and local income tax refunds	-38.01	-43.57	-31.82	-65.11	-61.71	-86.10	-133.94	-122.57	-232.94	-129.85
Other taxes	75.90	44.35	68.67	50.06	113.66	94.84	117.75	154.57	293.51	161.63
Personal property taxes	13.46	12.16	19.34	25.89	43.75	33.69	36.78	48.19	83.40	49.59
Other taxes	62.44	35.05	50.42	24.16	70.00	61.38	81.09	109.08	214.57	114.05
Other tax refunds	0.00	-2.86	-1.09	0.00	-0.08	-0.23	-0.13	-2.69	-4.46	-2.00
Income after taxes	3125.80	7976.57	12691.33	17576.13	24773.38	34729.29	45581.01	59101.74	125891.80	61342.80
Meals as pay	0.03	1.00	0.26	0.54	0.87	1.18	8.35	0.52	1.12	1.61
Rent as pay	3.33	16.07	2.30	1.22	6.91	2.83	0.68	0.27	1.79	2.83
Income after taxes	3122.43	7959.51	12688.77	17574.37	24765.61	34725.27	45571.98	59100.95	125888.89	61338.36
